State,5_steps_mean,5_steps_std,10_steps_mean,10_steps_std,20_steps_mean,20_steps_std,30_steps_mean,30_steps_std,40_steps_mean,40_steps_std,50_steps_mean,50_steps_std
x,0.0010412898,0.00062510074,0.0028094142,0.00213722,0.013241381,0.011267738,0.038665183,0.03148303,0.084354594,0.06526393,0.1554469,0.11506676
y,0.0004826683,0.0003793986,0.0020756412,0.0016322322,0.013083878,0.01045674,0.037895598,0.029825646,0.07852615,0.060253363,0.13568683,0.101897046
z,0.0006223703,0.0004538664,0.0024296497,0.0022291497,0.013480076,0.011340895,0.037808396,0.02989849,0.07867461,0.059908688,0.13846819,0.102576025
qw,0.020049412,0.015012524,0.033813372,0.025060397,0.054422647,0.03992362,0.07182448,0.04969551,0.087048195,0.056375783,0.10074432,0.06000351
qx,0.042162705,0.027196977,0.06751734,0.044082038,0.10034802,0.061651204,0.120623,0.07043348,0.13523427,0.07312866,0.14696394,0.07464178
qy,0.038423043,0.025317851,0.06621558,0.043571588,0.11326582,0.06998479,0.15557408,0.08920816,0.19527142,0.106795,0.23320182,0.123363085
qz,0.033204116,0.026698539,0.0574629,0.047830645,0.091346405,0.07101645,0.1142277,0.08233974,0.1316518,0.090913534,0.14736992,0.099089056
vx,0.028030168,0.029426618,0.084543236,0.07476388,0.26135743,0.2047951,0.50909704,0.37751728,0.8230406,0.5866276,1.2064643,0.8270083
vy,0.023941502,0.019609585,0.08433691,0.06587567,0.2601891,0.20181222,0.4805078,0.36222753,0.7200399,0.52602226,0.97306705,0.6884693
vz,0.0319475,0.035633527,0.09014833,0.080865294,0.2582089,0.20218785,0.47471657,0.3525401,0.7323866,0.5213486,1.0203518,0.7081102
