State,5_steps_mean,5_steps_std,10_steps_mean,10_steps_std,20_steps_mean,20_steps_std,30_steps_mean,30_steps_std,40_steps_mean,40_steps_std,50_steps_mean,50_steps_std
x,0.1514982134103775,0.11647016555070877,0.15133236348628998,0.11596506088972092,0.1510455161333084,0.1132345199584961,0.15476122498512268,0.11196350306272507,0.16075699031352997,0.1116710752248764,0.16890202462673187,0.11281732469797134
y,0.29610058665275574,0.24274852871894836,0.29516270756721497,0.245071679353714,0.2968904376029968,0.2500806450843811,0.30085790157318115,0.2523285746574402,0.31072959303855896,0.2582073509693146,0.3184662163257599,0.2627371549606323
z,0.2154884785413742,0.19291339814662933,0.2144906371831894,0.19111695885658264,0.2192227840423584,0.19184762239456177,0.22405077517032623,0.19213970005512238,0.23174159228801727,0.1942080408334732,0.24276526272296906,0.19798728823661804
qw,0.06340460479259491,0.0766327828168869,0.06302116066217422,0.07193589955568314,0.061220139265060425,0.060960542410612106,0.06072727590799332,0.05429457500576973,0.06089009344577789,0.05034942552447319,0.06166573986411095,0.047075677663087845
qx,0.09641875326633453,0.09887706488370895,0.09691841155290604,0.0929940938949585,0.09840282797813416,0.08231133967638016,0.09923560172319412,0.07433746755123138,0.09932862967252731,0.06901715695858002,0.09968823939561844,0.06529483199119568
qy,0.08612272143363953,0.060750123113393784,0.08527100831270218,0.05357486009597778,0.0856182649731636,0.04569553583860397,0.08736275881528854,0.04175025224685669,0.08936858922243118,0.0396718829870224,0.09243516623973846,0.038296401500701904
qz,0.17185010015964508,0.14051279425621033,0.17234818637371063,0.13542024791240692,0.1744367778301239,0.1294613480567932,0.1763344556093216,0.12426375597715378,0.17846235632896423,0.11916332691907883,0.18128624558448792,0.11403804272413254
vx,0.24162043631076813,0.1750684380531311,0.25681161880493164,0.1882549375295639,0.2964871823787689,0.22228176891803741,0.33826369047164917,0.259361207485199,0.377782940864563,0.28956329822540283,0.4095780849456787,0.31001561880111694
vy,0.29247206449508667,0.3022673428058624,0.29672837257385254,0.29313433170318604,0.31710225343704224,0.2943100929260254,0.34385091066360474,0.3050418794155121,0.3715219795703888,0.3157563805580139,0.3960290849208832,0.3240581452846527
vz,0.3071271479129791,0.285093754529953,0.323661744594574,0.2863326370716095,0.36271440982818604,0.28615835309028625,0.398684561252594,0.28688597679138184,0.4308985769748688,0.2918286919593811,0.4615282416343689,0.30051189661026
