State,5_steps_mean,5_steps_std,5_steps_max,10_steps_mean,10_steps_std,10_steps_max,20_steps_mean,20_steps_std,20_steps_max,30_steps_mean,30_steps_std,30_steps_max,40_steps_mean,40_steps_std,40_steps_max,50_steps_mean,50_steps_std,50_steps_max,60_steps_mean,60_steps_std,60_steps_max,70_steps_mean,70_steps_std,70_steps_max,80_steps_mean,80_steps_std,80_steps_max,90_steps_mean,90_steps_std,90_steps_max,100_steps_mean,100_steps_std,100_steps_max
x,0.2986043,0.30259392,1.6237714,0.30228353,0.30403942,1.6026888,0.30078948,0.29671913,1.5209916,0.299416,0.28925323,1.4081639,0.30623737,0.2841911,1.2816222,0.3223014,0.28560892,1.2364156,0.3440789,0.29240218,1.2478625,0.37040004,0.30359983,1.2603868,0.39954332,0.32020676,1.3507401,0.43084267,0.34388223,1.5384088,0.46352753,0.37261504,1.7144328
y,0.5088086,0.47997478,3.4256828,0.5030733,0.4795088,3.4528797,0.4926446,0.46660918,3.407128,0.4901223,0.4547959,3.402122,0.49094215,0.44243506,3.4251518,0.49707195,0.43386385,3.466936,0.51326483,0.43229902,3.5141602,0.5332876,0.4360487,3.567702,0.5587649,0.44424656,3.6225255,0.5927767,0.46089163,3.69293,0.63299084,0.48434418,3.7554111
z,0.31627962,0.30663925,1.3607391,0.31607452,0.30724204,1.3694947,0.31246975,0.30429637,1.3834674,0.3119298,0.29673234,1.4205681,0.31946525,0.28800666,1.4528911,0.33452097,0.28216287,1.4740317,0.35697404,0.28332117,1.5199401,0.38270476,0.28831002,1.5805569,0.40836728,0.29428166,1.6219208,0.43359068,0.3001971,1.6362242,0.45788428,0.30624685,1.6299744
qw,0.20943545,0.2970151,1.3337431,0.21308964,0.29235217,1.3029573,0.22540103,0.3022412,1.3203729,0.23222034,0.30843845,1.3365817,0.23737217,0.31261298,1.3800186,0.24130672,0.3138645,1.4018747,0.24508333,0.31506723,1.4132214,0.24888895,0.31693438,1.4180539,0.2526724,0.31927222,1.4259943,0.25634563,0.3207982,1.4295714,0.25945282,0.32242325,1.4227536
qx,0.07224064,0.06709813,0.42671806,0.07267457,0.06651743,0.42679286,0.07476681,0.06340162,0.4424085,0.07612955,0.060771775,0.4464663,0.07821477,0.057219915,0.41909885,0.07961241,0.054101244,0.3701758,0.081538804,0.051778413,0.34522766,0.08381344,0.05079637,0.3056384,0.085893676,0.050732102,0.28647378,0.08799445,0.051029574,0.26849756,0.09049147,0.05198461,0.2679565
qy,0.09948407,0.08286484,0.49369773,0.10054442,0.080021076,0.4788403,0.10135319,0.07293456,0.4581542,0.10246889,0.06752547,0.42523813,0.10313459,0.06365456,0.39821142,0.10371926,0.06055854,0.36634716,0.10354198,0.057758383,0.35262337,0.10352624,0.055227436,0.3195684,0.10375554,0.053615388,0.28412026,0.10421055,0.05255613,0.27598903,0.10529614,0.05283978,0.29100645
qz,0.14941505,0.21082999,0.9879225,0.14851356,0.21108189,1.0169549,0.15015405,0.21224485,1.0277236,0.15453628,0.21843871,1.0413747,0.15869747,0.22409661,1.0588564,0.16273175,0.22863519,1.0768386,0.16614339,0.23197839,1.0827166,0.16896781,0.2341957,1.080223,0.17115961,0.23450725,1.0725858,0.17307009,0.23335716,1.0743974,0.1747265,0.23100723,1.066182
vx,0.36392686,0.34639087,2.2427664,0.39568573,0.38836744,2.4697552,0.482324,0.48350453,2.7370973,0.57548237,0.5752417,3.0388544,0.6598104,0.6431917,3.4835877,0.73084426,0.6952326,3.7787476,0.7916804,0.73896044,3.9343874,0.8460109,0.7755298,4.0084653,0.88895965,0.80027544,4.076923,0.9209771,0.80997586,4.048756,0.94309145,0.803283,3.953848
vy,0.6435491,0.5219587,3.3196864,0.6650552,0.52303123,3.3569882,0.73063123,0.54060256,3.3765335,0.80442715,0.57058185,3.3882926,0.87658834,0.61074984,3.3739815,0.9484079,0.65790963,3.3320248,1.01864,0.7037087,3.5968869,1.0845567,0.7400134,3.9372432,1.1433601,0.767275,4.227513,1.1950109,0.7860569,4.417132,1.2401272,0.80264056,4.531326
vz,0.42903033,0.41293558,2.0203934,0.4696661,0.40991762,1.9558945,0.6151879,0.46370587,2.2504265,0.76031244,0.54777265,2.6653192,0.8727226,0.60484576,2.9601357,0.94820285,0.63031274,2.9687862,1.003095,0.6368708,2.9286675,1.0378395,0.624451,2.9394615,1.0609121,0.59781843,2.8184447,1.0728165,0.5704349,2.565794,1.0869077,0.55578333,2.6064599
