State,5_steps_mean,5_steps_std,5_steps_max,10_steps_mean,10_steps_std,10_steps_max,20_steps_mean,20_steps_std,20_steps_max,30_steps_mean,30_steps_std,30_steps_max,40_steps_mean,40_steps_std,40_steps_max,50_steps_mean,50_steps_std,50_steps_max,60_steps_mean,60_steps_std,60_steps_max,70_steps_mean,70_steps_std,70_steps_max,80_steps_mean,80_steps_std,80_steps_max,90_steps_mean,90_steps_std,90_steps_max,100_steps_mean,100_steps_std,100_steps_max
x,0.0007912086,0.0007081167,0.0040229796,0.0033038259,0.0029517822,0.017085647,0.013818286,0.012046846,0.070198774,0.032654323,0.027554495,0.15559343,0.060970426,0.049902,0.25658703,0.09914411,0.079240344,0.37320533,0.14691569,0.1151496,0.52468306,0.20412529,0.15708305,0.6747556,0.27068362,0.20415762,0.89260274,0.3464038,0.25551292,1.1387413,0.4306351,0.3108176,1.4063629
y,0.00042123863,0.00034386557,0.0021248818,0.0018606026,0.0015198842,0.00870738,0.008104279,0.0065896357,0.036748696,0.019237207,0.015779695,0.09507599,0.035750557,0.029685348,0.1798903,0.058196217,0.048548773,0.28452834,0.08684869,0.0724606,0.41201505,0.12169912,0.101823606,0.5658485,0.16291428,0.13683675,0.7412475,0.21095565,0.17725277,0.938104,0.2661077,0.22285691,1.1556866
z,0.0015980753,0.0008559705,0.0032782555,0.0072192955,0.0039744736,0.016140174,0.028561141,0.016508795,0.070448115,0.06082037,0.036640342,0.1606584,0.101997964,0.06361931,0.28405958,0.1510052,0.096697286,0.43809357,0.20630115,0.13540703,0.6202022,0.26677015,0.17926253,0.82410055,0.33127353,0.22827014,1.0422522,0.3989398,0.28219417,1.2660007,0.46898556,0.3406774,1.487921
qw,0.012670736,0.022474492,0.19255404,0.026583865,0.043996517,0.42315492,0.048664168,0.07540637,0.74576426,0.066092126,0.09779661,0.87298584,0.08101825,0.114803635,0.9470066,0.09416101,0.12846395,0.9938504,0.106001824,0.140328,1.0334442,0.11687342,0.15126938,1.0666909,0.12726499,0.16185673,1.0957927,0.13746049,0.1720849,1.1221021,0.14759338,0.1816911,1.1446662
qx,0.021988219,0.019656684,0.14181225,0.044526353,0.037181716,0.26082712,0.078480005,0.06085797,0.3719233,0.103079036,0.075968005,0.43568516,0.121906765,0.08669433,0.49927443,0.13637698,0.09455385,0.55776995,0.14792888,0.100103036,0.5966524,0.1572761,0.10432097,0.62380064,0.16500436,0.10800548,0.6456081,0.17157894,0.111547686,0.6635656,0.17737354,0.115023285,0.68481654
qy,0.017292865,0.017687405,0.13848674,0.035249356,0.03142626,0.23814175,0.061355084,0.046491098,0.36040068,0.07822024,0.054645382,0.38089335,0.08944275,0.058443215,0.3731988,0.09770716,0.060254123,0.36037052,0.10378986,0.06128438,0.34802195,0.10852276,0.061504267,0.33994338,0.112247646,0.061512526,0.33265352,0.115285225,0.06219931,0.340342,0.118034475,0.06346368,0.3550133
qz,0.012356415,0.024306355,0.20745885,0.02597132,0.04945139,0.44993505,0.047766533,0.08664635,0.74385285,0.06504464,0.11206347,0.9491764,0.08020725,0.1305747,1.0709916,0.09361096,0.14514516,1.1447461,0.10545202,0.15756354,1.1953968,0.11610706,0.16879776,1.231152,0.12628727,0.17943226,1.2624079,0.13635732,0.18969584,1.2884518,0.14625692,0.19950607,1.3078057
vx,0.043055266,0.039033335,0.21474867,0.09769786,0.08535874,0.48472357,0.21945171,0.17814916,1.0268728,0.3579971,0.27713746,1.4594268,0.51054096,0.37971166,1.8065059,0.6677387,0.4850353,2.1930504,0.82508796,0.5887942,2.6307483,0.9812687,0.6865493,3.1058965,1.1343869,0.77678394,3.546994,1.2832782,0.8604657,3.947871,1.4265767,0.93991673,4.307073
vy,0.02553809,0.02306608,0.13455872,0.058988012,0.049745556,0.28548712,0.1341264,0.10764981,0.66972125,0.21708551,0.17418696,1.1045316,0.3062014,0.24429564,1.4441754,0.3994815,0.31559104,1.7820799,0.49407738,0.39097393,2.1333292,0.5907794,0.46937287,2.4732587,0.68960875,0.5490421,2.8066025,0.79066133,0.6285627,3.1356022,0.8937044,0.7074617,3.4512165
vz,0.10619914,0.05596804,0.23450032,0.225281,0.12179916,0.5264393,0.42878574,0.24109073,1.094849,0.6002293,0.34585965,1.6287292,0.749852,0.44073865,2.1242785,0.8839718,0.52689236,2.5815878,0.99977404,0.6109639,2.997006,1.1007825,0.6934915,3.3330736,1.190373,0.77395815,3.5539734,1.2709144,0.8499358,3.8513374,1.3456682,0.917904,4.192897
